Date,Class-Type,Symbol,Year,Month,Strike-Price,P-C,Isin-Code,Mark-Price,Downside5,Downside4,Downside3,Downside2,Downside1,Upside1,Upside2,Upside3,Upside4,Upside5,Short-Adjustment,Volatility,Open-Interest,Cleared-Volume,Market-Id,Market-Id
20151126,O,ACE,2015,12,12.5,C,IT0012083264,1.3351,1.157544,1.007805,0.805656,0.559257,0.287524,0.293717,0.590061,0.887113,1.184406,1.48174,1.48174,0.203,0,0,2,2
20151126,O,ACE,2015,12,12.5,P,IT0012083272,0.005,0.329176,0.181565,0.086368,0.035421,0.009808,0.003641,0.004642,0.004935,0.004987,0.004998,0.329176,0.203,0,0,2,2
20151126,O,ACE,2015,12,13.0,C,IT0012104565,0.8614,0.815628,0.750209,0.638323,0.470581,0.253153,0.278092,0.567111,0.861852,1.158356,1.455496,1.455496,0.199,125,0,2,2
20151126,O,ACE,2015,12,13.0,P,IT0012104573,0.0313,0.671099,0.439165,0.253701,0.124096,0.044176,0.01927,0.027596,0.030201,0.031041,0.031246,0.671099,0.199,0,0,2,2
20151126,O,ACE,2015,12,13.5,C,IT0012104581,0.459,0.452044,0.434717,0.393475,0.315268,0.183167,0.229055,0.491223,0.772312,1.063444,1.358672,1.358672,0.195,85,0,2,2
20151126,O,ACE,2015,12,13.5,P,IT0012104599,0.1289,1.034698,0.754666,0.498554,0.279409,0.114162,0.06831,0.103488,0.119745,0.125958,0.128075,1.034698,0.195,0,0,2,2
20151126,O,ACE,2015,12,14.0,C,IT0012104607,0.1852,0.184601,0.182176,0.173189,0.149032,0.097601,0.146676,0.345839,0.585747,0.854216,1.138676,1.138676,0.191,0,0,2,2
20151126,O,ACE,2015,12,14.0,P,IT0012104615,0.3551,1.302164,1.007226,0.718853,0.445653,0.199734,0.150691,0.248875,0.306314,0.33519,0.348076,1.302164,0.191,0,0,2,2
20151126,O,ACE,2015,12,14.5,C,IT0012196348,0.0513,0.051271,0.051084,0.050043,0.045609,0.032206,0.067808,0.178741,0.344297,0.555469,0.805423,0.805423,0.188,0,0,2,2
20151126,O,ACE,2015,12,14.5,P,IT0012196355,0.7212,1.43553,1.138347,0.842022,0.549093,0.265137,0.229556,0.415973,0.547765,0.63394,0.681332,1.43553,0.188,0,0,2,2
20151126,O,ACE,2015,12,15.0,C,IT0012216252,0.0094,0.009399,0.009392,0.009327,0.008914,0.006872,0.019006,0.063347,0.142668,0.273694,0.451853,0.451853,0.185,0,0,2,2
20151126,O,ACE,2015,12,15.0,P,IT0012216260,1.1794,1.477325,1.17998,0.882672,0.585715,0.290392,0.278446,0.531461,0.749493,0.915815,1.035004,1.477325,0.185,0,0,2,2
20151126,O,ACE,2015,12,15.5,C,IT0012217870,0.001,0.001,0.001,0.000998,0.000977,0.000826,0.003447,0.013809,0.04112,0.094643,0.192995,0.2962,0.182,0,0,2,2
20151126,O,ACE,2015,12,15.5,P,IT0012217888,1.6709,1.485825,1.18848,0.891135,0.593792,0.29657,0.29389,0.580885,0.850931,1.094763,1.29376,1.485825,0.182,0,0,2,2
20151126,O,ACE,2015,12,16.0,C,IT0012253867,0.00,0.00,0.00,0.00,0.000001,0.000007,0.000405,0.001955,0.007247,0.023062,0.057122,0.2972,0.179,0,0,2,2
20151126,O,ACE,2015,12,16.0,P,IT0012253875,2.17,1.486725,1.18938,0.892035,0.59469,0.297345,0.297002,0.592819,0.884887,1.166431,1.429726,1.486725,0.179,0,0,2,2
20151126,O,ACE,2015,12,16.5,C,IT0012364631,0.00,0.00,0.00,0.00,0.00,0.00,0.000018,0.000154,0.000856,0.003423,0.012261,0.2972,0.177,0,0,2,2
20151126,O,ACE,2015,12,16.5,P,IT0012364649,2.67,1.486725,1.18938,0.892035,0.59469,0.297345,0.297345,0.594586,0.891254,1.186049,1.474573,1.486725,0.177,0,0,2,2
20151126,O,ACE,2015,12,17.0,C,IT0012646144,0.00,0.00,0.00,0.00,0.00,0.00,0.000001,0.000005,0.000051,0.000332,0.001464,0.2972,0.174,0,0,2,2
20151126,O,ACE,2015,12,17.0,P,IT0012646151,3.17,1.486725,1.18938,0.892035,0.59469,0.297345,0.297345,0.59469,0.892018,1.189111,1.485343,1.486725,0.174,0,0,2,2
20151126,O,ACE,2015,12,17.5,C,IT0012657729,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000002,0.000016,0.000128,0.2972,0.172,0,0,2,2
20151126,O,ACE,2015,12,17.5,P,IT0012657737,3.67,1.486725,1.18938,0.892035,0.59469,0.297345,0.297345,0.59469,0.892035,1.18938,1.486646,1.486725,0.172,0,0,2,2
20151126,F,ACE,2016,1,0.0,,IT0012608896,13.8186,1.486725,1.18938,0.892035,0.59469,0.297345,0.297345,0.59469,0.892035,1.18938,1.486725,0.00,0.0,0,0,2,2
20151126,O,ACE,2016,1,9.0,C,IT0012613128,4.8301,1.486631,1.189293,0.89195,0.594605,0.29726,0.29743,0.594775,0.89212,1.189465,1.48681,1.48681,0.224,0,0,2,2
20151126,O,ACE,2016,1,9.0,P,IT0012613136,0.00,0.000009,0.000002,0.000001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2972,0.224,0,0,2,2
20151126,O,ACE,2016,1,9.5,C,IT0012613102,4.3301,1.486503,1.189247,0.891929,0.594592,0.297249,0.29744,0.594785,0.89213,1.189475,1.48682,1.48682,0.22,0,0,2,2
20151126,O,ACE,2016,1,9.5,P,IT0012613110,0.00,0.000127,0.000038,0.000011,0.000003,0.000001,0.00,0.00,0.00,0.00,0.00,0.2972,0.22,0,0,2,2
20151126,O,ACE,2016,1,10.0,C,IT0012613086,3.8302,1.485639,1.188993,0.891903,0.594645,0.297328,0.297351,0.594696,0.89204,1.189385,1.48673,1.48673,0.216,0,0,2,2
20151126,O,ACE,2016,1,10.0,P,IT0012613094,0.00,0.00108,0.000382,0.000126,0.000039,0.000011,0.000001,0.00,0.00,0.00,0.00,0.2972,0.216,0,0,2,2
20151126,O,ACE,2016,1,10.5,C,IT0012613060,3.3302,1.480435,1.186781,0.891025,0.594315,0.297207,0.297373,0.594709,0.892051,1.189396,1.486741,1.486741,0.212,0,0,2,2
20151126,O,ACE,2016,1,10.5,P,IT0012613078,0.00,0.006275,0.002583,0.000994,0.000359,0.000122,0.000012,0.000003,0.000001,0.00,0.00,0.2972,0.212,0,0,2,2
20151126,O,ACE,2016,1,11.0,C,IT0012613045,2.8305,1.460595,1.177183,0.886806,0.592689,0.296733,0.297185,0.594454,0.891773,1.189109,1.486452,1.486452,0.208,0,0,2,2
20151126,O,ACE,2016,1,11.0,P,IT0012613052,0.0003,0.026105,0.012172,0.005203,0.001975,0.000586,0.000186,0.000262,0.000288,0.000297,0.000299,0.2969,0.208,0,0,2,2
20151126,O,ACE,2016,1,11.5,C,IT0012613029,2.3323,1.403129,1.145284,0.870817,0.58575,0.294495,0.296101,0.592939,0.890085,1.187356,1.484674,1.484674,0.205,0,0,2,2
20151126,O,ACE,2016,1,11.5,P,IT0012613037,0.002,0.083663,0.044161,0.021283,0.009004,0.002914,0.00118,0.001687,0.001886,0.00196,0.001987,0.2952,0.205,0,0,2,2
20151126,O,ACE,2016,1,12.0,C,IT0012613003,1.8404,1.279871,1.068062,0.826967,0.563763,0.286356,0.291854,0.586526,0.882675,1.179521,1.476682,1.476682,0.202,0,0,2,2
20151126,O,ACE,2016,1,12.0,P,IT0012613011,0.0102,0.206815,0.121276,0.065023,0.030882,0.010943,0.005538,0.00821,0.009407,0.009906,0.010089,0.287,0.202,0,0,2,2
20151126,O,ACE,2016,1,12.5,C,IT0012612849,1.3678,1.076363,0.92525,0.735188,0.513435,0.26614,0.279271,0.566655,0.858868,1.153729,1.449948,1.449948,0.199,0,0,2,2
20151126,O,ACE,2016,1,12.5,P,IT0012612856,0.0376,0.410323,0.264082,0.156796,0.081201,0.031151,0.01813,0.028091,0.033224,0.035707,0.036834,0.410323,0.199,0,0,2,2
20151126,O,ACE,2016,1,13.0,C,IT0012612864,0.9389,0.810918,0.718419,0.590708,0.426586,0.228111,0.251779,0.520796,0.801553,1.089731,1.382295,1.382295,0.197,1,0,2,2
20151126,O,ACE,2016,1,13.0,P,IT0012612872,0.1086,0.67587,0.471013,0.301373,0.168146,0.069272,0.045531,0.07386,0.090449,0.099616,0.104397,0.67587,0.197,0,0,2,2
20151126,O,ACE,2016,1,13.5,C,IT0012612880,0.5798,0.533112,0.487771,0.416298,0.312934,0.174263,0.207151,0.44207,0.698645,0.970831,1.253478,1.253478,0.194,1,0,2,2
20151126,O,ACE,2016,1,13.5,P,IT0012612898,0.2495,0.953687,0.701669,0.475788,0.281799,0.123119,0.090165,0.152594,0.193365,0.218526,0.233224,0.953687,0.194,0,0,2,2
20151126,O,ACE,2016,1,14.0,C,IT0012612906,0.3147,0.300511,0.282567,0.249909,0.195995,0.114358,0.149782,0.334187,0.549809,0.791247,1.052386,1.052386,0.192,1,0,2,2
20151126,O,ACE,2016,1,14.0,P,IT0012612914,0.4844,1.186309,0.906889,0.642188,0.398746,0.183027,0.147536,0.260481,0.342208,0.398117,0.434325,1.186309,0.192,0,0,2,2
20151126,O,ACE,2016,1,14.5,C,IT0012612922,0.147,0.143698,0.138247,0.126597,0.104256,0.064471,0.093948,0.221059,0.382466,0.576506,0.799265,0.799265,0.189,0,0,2,2
20151126,O,ACE,2016,1,14.5,P,IT0012612930,0.8167,1.343155,1.051236,0.76552,0.4905,0.232919,0.203373,0.373614,0.509557,0.612865,0.687454,1.343155,0.189,0,0,2,2
20151126,O,ACE,2016,1,15.0,C,IT0012612948,0.0595,0.058894,0.057618,0.054331,0.046189,0.029741,0.049229,0.12378,0.228687,0.366817,0.538371,0.538371,0.187,0,0,2,2
20151126,O,ACE,2016,1,15.0,P,IT0012612955,1.2293,1.427906,1.131803,0.837716,0.548484,0.267566,0.248183,0.470988,0.663434,0.822655,0.948451,1.427906,0.187,0,0,2,2
20151126,O,ACE,2016,1,15.5,C,IT0012612963,0.0198,0.019719,0.019478,0.018642,0.016389,0.011086,0.02106,0.057347,0.114905,0.199459,0.315315,0.315315,0.185,0,0,2,2
20151126,O,ACE,2016,1,15.5,P,IT0012612971,1.6895,1.467243,1.170094,0.873542,0.578417,0.286349,0.276234,0.537308,0.777107,0.989908,1.171406,1.467243,0.185,0,0,2,2
20151126,O,ACE,2016,1,16.0,C,IT0012612989,0.0051,0.005091,0.005053,0.004906,0.004436,0.003133,0.007521,0.022591,0.049703,0.094274,0.161898,0.2921,0.183,0,0,2,2
20151126,O,ACE,2016,1,16.0,P,IT0012612997,2.1749,1.481825,1.18448,0.887235,0.590319,0.294243,0.289852,0.57215,0.842401,1.095189,1.324922,1.481825,0.183,0,0,2,2
20151126,O,ACE,2016,1,16.5,C,IT0012630148,0.0013,0.001299,0.001295,0.001276,0.001197,0.000894,0.002301,0.007529,0.018225,0.038111,0.071989,0.2959,0.182,0,0,2,2
20151126,O,ACE,2016,1,16.5,P,IT0012630155,2.6711,1.485625,1.18828,0.890935,0.593619,0.296528,0.29504,0.587184,0.873855,1.151334,1.414816,1.485625,0.182,0,0,2,2
20151126,O,ACE,2016,1,17.0,C,IT0012646169,0.0002,0.0002,0.0002,0.000198,0.000186,0.000137,0.00054,0.001894,0.00512,0.012062,0.025878,0.297,0.18,0,0,2,2
